ind,gu,width,length,lat,lon
330,碍巢备,360,460,37.465301000000004,127.108053
331,碍悼备,360,470,37.521707,127.134247
332,价颇备,360,900,37.505176,127.122707
333,付器备,360,300,37.564141,126.890258
334,辑措巩备,360,600,37.571243,126.958702
335,辑措巩备,360,1800,37.585103000000004,126.94453899999999
336,付器备,360,1000,37.564353999999994,126.905615
337,付器备,360,1000,37.564426,126.90590900000001
338,付器备,360,350,37.567477000000004,126.893965
339,侩魂备,360,800,37.550044,126.980497
340,付器备,360,1000,37.564353999999994,126.905615
341,侩魂备,360,750,37.543915000000005,127.002122
342,侩魂备,360,750,37.543853000000006,127.002137
343,侩魂备,360,750,37.54413928,127.00231699999999
344,畴盔备,360,800,37.624323,127.060102
345,畴盔备,360,800,37.624045,127.060098
346,畴盔备,360,800,37.623689,127.060128
347,畴盔备,360,1000,37.650434000000004,127.028485
348,档豪备,360,1400,37.646751,127.04855400000001
349,档豪备,360,1340,37.648609,127.047743
350,档豪备,360,620,37.649063,127.04751599999999
351,己合备,360,700,37.596169,126.98682099999999
352,己合备,360,700,37.596327,126.98911399999999
353,碍合备,360,1500,37.634327,127.01902700000001
354,碍合备,360,580,37.672791,127.08344699999999
355,碍合备,360,830,37.674033,127.084979
356,畴盔备,360,300,37.67572144,127.08700060000001
357,档豪备,360,1500,37.688095000000004,127.04847409999999
358,档豪备,360,850,37.661829,127.0233832
359,档豪备,360,700,37.662657,127.018824
360,辆肺备,360,650,37.593968,126.968448
361,辆肺备,360,650,37.593671,126.96771899999999
362,辆肺备,360,670,37.597188,126.97048400000001
363,辆肺备,360,890,37.59668641,126.972273
364,辆肺备,360,630,37.59821813,126.9738629
365,辆肺备,360,680,37.599667,126.975052
366,辆肺备,360,660,37.599831,126.97577700000001
367,辆肺备,360,960,37.600428,126.97574099999999
368,辆肺备,360,730,37.601085999999995,126.978894
369,己合备,360,700,37.606377200000004,126.98688600000001
370,己合备,360,720,37.60203,126.99721399999999
371,己合备,360,700,37.601527000000004,126.999334
372,己合备,360,620,37.59933,127.00214
373,己合备,360,810,37.597358,127.00561699999999
374,己合备,360,830,37.597651,127.006003
375,己合备,360,650,37.60034446,127.00936200000001
376,己合备,360,600,37.601137,127.01125800000001
377,己合备,360,1000,37.59861695,127.019706
378,己合备,360,350,37.597221000000005,127.02243899999999
379,己合备,360,800,37.595837,127.0223435
380,己合备,360,800,37.595639,127.02258700000002
381,己合备,360,800,37.595585,127.022443
382,己合备,360,800,37.595366,127.02298400000001
383,己合备,360,1050,37.594683,127.024032
384,己合备,360,600,37.591564,127.03388700000001
385,己合备,360,700,37.588226,127.010079
386,己合备,360,700,37.58839723,127.010875
387,己合备,360,700,37.58906374,127.013099
388,己合备,360,1240,37.609457,127.02280800000001
389,己合备,360,600,37.610197,127.02256399999999
390,己合备,360,600,37.610244,127.02254599999999
391,己合备,360,1250,37.622932,127.01939099999998
392,己合备,360,1280,37.6254,127.018449
393,辆肺备,360,600,37.592982,126.981746
394,辆肺备,360,560,37.585172,126.98203799999999
395,辆肺备,360,560,37.584953999999996,126.982049
396,辆肺备,360,560,37.584718,126.98204299999999
397,畴盔备,360,1250,37.670504,127.07964399999999
398,碍合备,360,1820,37.619962,127.01165800000001
399,碍合备,360,1750,37.620228999999995,127.01344399999999
400,碍合备,360,1350,37.620184,127.01426200000002
401,档豪备,360,460,37.655243,127.02793600000001
402,档豪备,360,450,37.654664000000004,127.027992
403,档豪备,360,460,37.655840999999995,127.02786200000001
404,档豪备,360,920,37.655628,127.02791699999999
405,档豪备,360,1080,37.65984643,127.02773799999999
406,档豪备,360,860,37.669012,127.035854
407,档豪备,360,860,37.669452,127.036542
408,档豪备,360,860,37.669649,127.036999
409,档豪备,360,860,37.670014,127.03785500000001
410,己合备,360,600,37.597327,127.01504240000001
411,碍合备,360,1360,37.616456,127.031627
412,碍合备,360,1010,37.616492,127.03191799999999
413,碍合备,360,1030,37.616479,127.032597
414,碍合备,360,990,37.618838000000004,127.036247
415,碍合备,360,990,37.621958,127.03761499999999
416,碍合备,360,310,37.623876,127.037575
417,碍合备,360,310,37.624369,127.037434
418,碍合备,360,310,37.624886,127.037241
419,碍合备,360,1400,37.629298999999996,127.04003940000001
420,碍合备,360,1460,37.630019,127.040898
421,己合备,360,1200,37.592994,127.036405
422,己合备,360,600,37.593123999999996,127.036771
423,己合备,360,600,37.593787,127.037329
424,己合备,360,650,37.594027000000004,127.037449
425,己合备,360,600,37.594498,127.03770300000001
426,己合备,360,600,37.59479242,127.037729
427,己合备,360,600,37.59511312,127.037957
428,己合备,360,650,37.595354,127.038124
429,己合备,360,650,37.595427,127.03815900000001
430,己合备,360,650,37.597109,127.039097
431,碍合备,360,630,37.6209487,127.012045
432,碍合备,360,1250,37.620641,127.012153
433,碍合备,360,1250,37.62081831,127.012229
434,碍合备,360,1250,37.620934000000005,127.012316
435,碍合备,360,580,37.621272999999995,127.01248400000001
436,碍合备,360,1260,37.62294455,127.013117
437,碍合备,360,1260,37.623428000000004,127.01303500000002
438,碍合备,360,1260,37.623891,127.01278500000001
439,碍合备,360,1320,37.624206,127.012584
440,碍合备,360,1260,37.624712,127.012428
441,碍合备,360,1260,37.625127,127.012355
442,碍合备,360,1000,37.625271000000005,127.01233400000001
443,碍合备,360,570,37.629887,127.013333
444,碍合备,360,550,37.630417,127.013574
445,碍合备,360,580,37.630718,127.01365600000001
446,碍合备,360,1200,37.630831,127.01370700000001
447,碍合备,360,600,37.631289,127.013746
448,碍合备,360,1240,37.642523,127.01094199999999
449,碍合备,360,1240,37.64253898,127.01094199999999
450,碍合备,360,1240,37.643633,127.01091399999999
451,碍合备,360,1240,37.643725,127.010902
452,碍合备,360,1240,37.643824,127.01103619999999
453,碍合备,360,1240,37.643955,127.01085800000001
454,辆肺备,360,650,37.574799,126.967601
455,辆肺备,360,750,37.581275,126.96216399999999
456,辆肺备,360,1200,37.59289741,126.96460900000001
457,辆肺备,360,1200,37.589676000000004,126.971599
458,辆肺备,360,1400,37.58897222,126.971919
459,辆肺备,360,600,37.588963,126.97198799999998
460,辆肺备,360,600,37.587917,126.972599
461,辆肺备,360,1200,37.586744,126.972982
462,辆肺备,360,600,37.568584,126.99318899999999
463,畴盔备,360,870,37.63194919,127.054523
464,畴盔备,360,860,37.629523,127.054478
465,畴盔备,360,890,37.630669,127.05340600000001
466,畴盔备,360,890,37.630856,127.05318799999999
467,畴盔备,360,870,37.632146999999996,127.0526344
468,畴盔备,360,880,37.63256009,127.05228100000001
469,畴盔备,360,900,37.633373,127.052205
470,己合备,360,400,37.609452000000005,127.067182
471,己合备,360,880,37.61227367,127.066332
472,己合备,360,930,37.613158,127.06565049999999
473,畴盔备,360,550,37.664371,127.05376499999998
474,档豪备,360,1200,37.655969,127.04041299999999
475,档豪备,360,600,37.657651,127.027133
476,档豪备,360,1250,37.657472,127.02437450000001
477,档豪备,360,1260,37.657410999999996,127.022557
478,己悼备,360,800,37.566503999999995,127.032322
479,己悼备,360,800,37.566388,127.03336499999999
480,己悼备,360,600,37.555624,127.023323
481,己悼备,360,600,37.555668,127.024235
482,堡柳备,360,350,37.554128999999996,127.074848
483,堡柳备,360,350,37.554210999999995,127.07494399999999
484,堡柳备,360,700,37.554382000000004,127.07528899999998
485,堡柳备,360,600,37.529934000000004,127.086867
486,悼措巩备,360,600,37.577166,127.057938
487,悼措巩备,360,550,37.57798638,127.05748799999999
488,悼措巩备,360,350,37.565022,127.05511200000001
489,悼措巩备,360,350,37.561177,127.066023
490,悼措巩备,360,350,37.561052000000004,127.067242
491,康殿器备,360,700,37.537205,126.89854299999999
